out_name,units,long_name,standard_name,priority,comments,frequency
tas,K,Near-Surface Air Temperature,air_temperature,CORE,,mon
tas,K,Near-Surface Air Temperature,air_temperature,CORE,,day
tas,K,Near-Surface Air Temperature,air_temperature,CORE,,1hrPt
tasmax,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,mon
tasmax,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,day
tasmin,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,mon
tasmin,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,day
pr,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,mon
pr,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,day
pr,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,1hr
evspsbl,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,mon
evspsbl,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,day
evspsbl,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,1hr
huss,1,Near-Surface Specific Humidity,specific_humidity,CORE,,mon
huss,1,Near-Surface Specific Humidity,specific_humidity,CORE,,day
huss,1,Near-Surface Specific Humidity,specific_humidity,CORE,,1hrPt
hurs,%,Near-Surface Relative Humidity,relative_humidity,CORE,,mon
hurs,%,Near-Surface Relative Humidity,relative_humidity,CORE,,day
hurs,%,Near-Surface Relative Humidity,relative_humidity,CORE,,1hrPt
ps,Pa,Surface Air Pressure,surface_air_pressure,CORE,,mon
ps,Pa,Surface Air Pressure,surface_air_pressure,CORE,,day
ps,Pa,Surface Air Pressure,surface_air_pressure,CORE,,1hrPt
psl,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,mon
psl,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,day
psl,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,1hrPt
sfcWind,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,mon
sfcWind,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,day
sfcWind,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,1hrPt
uas,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,mon
uas,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,day
uas,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,1hrPt
vas,m s-1,Northward Near-Surface Wind,northward_wind,CORE,,mon
vas,m s-1,Northward Near-Surface Wind,northward_wind,CORE,,day
vas,m s-1,Northward Near-Surface Wind,northward_wind,CORE,,1hrPt
clt,%,Total Cloud Cover Percentage,cloud_area_fraction,CORE,,mon
