out_name,units,long_name,standard_name,priority,comment,frequency,cell_methods,modeling_realm,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
tas,K,Near-Surface Air Temperature,air_temperature,CORE,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time height2m,real,,,,,
tas,K,Near-Surface Air Temperature,air_temperature,CORE,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time height2m,real,,,,,
tas,K,Near-Surface Air Temperature,air_temperature,CORE,,1hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1 height2m,real,,,,,
tasmax,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time height2m,real,,,,,
tasmax,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,day,area: mean time: mean,atmos,area: areacella,longitude latitude time height2m,real,,,,,
tasmin,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time height2m,real,,,,,
tasmin,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,day,area: mean time: mean,atmos,area: areacella,longitude latitude time height2m,real,,,,,
pr,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
pr,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
pr,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
evspsbl,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
evspsbl,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
evspsbl,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
huss,1,Near-Surface Specific Humidity,specific_humidity,CORE,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time height2m,real,,,,,
huss,1,Near-Surface Specific Humidity,specific_humidity,CORE,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time height2m,real,,,,,
huss,1,Near-Surface Specific Humidity,specific_humidity,CORE,,1hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1 height2m,real,,,,,
hurs,%,Near-Surface Relative Humidity,relative_humidity,CORE,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time height2m,real,,,,,
hurs,%,Near-Surface Relative Humidity,relative_humidity,CORE,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time height2m,real,,,,,
hurs,%,Near-Surface Relative Humidity,relative_humidity,CORE,,1hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1 height2m,real,,,,,
ps,Pa,Surface Air Pressure,surface_air_pressure,CORE,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
ps,Pa,Surface Air Pressure,surface_air_pressure,CORE,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
ps,Pa,Surface Air Pressure,surface_air_pressure,CORE,,1hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1,real,,,,,
psl,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
psl,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
psl,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,1hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1,real,,,,,
sfcWind,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time height10m,real,,,,,
sfcWind,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time height10m,real,,,,,
sfcWind,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,1hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1 height10m,real,,,,,
uas,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time height10m,real,,,,,
uas,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time height10m,real,,,,,
uas,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,1hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1 height10m,real,,,,,
