out_name,units,long_name,standard_name,priority,comment,frequency,cell_methods
tas,K,Near-Surface Air Temperature,air_temperature,CORE,,mon,area: mean time: mean
tas,K,Near-Surface Air Temperature,air_temperature,CORE,,day,area: mean time: mean
tas,K,Near-Surface Air Temperature,air_temperature,CORE,,1hrPt,area: mean time: point
tasmax,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,mon,area: mean time: maximum within days time: mean over days
tasmax,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,day,area: mean time: maximum
tasmin,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,mon,area: mean time: minimum within days time: mean over days
tasmin,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,day,area: mean time: minimum
pr,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,mon,area: mean time: mean
pr,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,day,area: mean time: mean
pr,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,1hr,area: mean time: mean
evspsbl,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,mon,area: mean time: mean
evspsbl,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,day,area: mean time: mean
evspsbl,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,1hr,area: mean time: mean
huss,1,Near-Surface Specific Humidity,specific_humidity,CORE,,mon,area: mean time: mean
huss,1,Near-Surface Specific Humidity,specific_humidity,CORE,,day,area: mean time: mean
huss,1,Near-Surface Specific Humidity,specific_humidity,CORE,,1hrPt,area: mean time: point
hurs,%,Near-Surface Relative Humidity,relative_humidity,CORE,,mon,area: mean time: mean
hurs,%,Near-Surface Relative Humidity,relative_humidity,CORE,,day,area: mean time: mean
hurs,%,Near-Surface Relative Humidity,relative_humidity,CORE,,1hrPt,area: mean time: point
ps,Pa,Surface Air Pressure,surface_air_pressure,CORE,,mon,area: mean time: mean
ps,Pa,Surface Air Pressure,surface_air_pressure,CORE,,day,area: mean time: mean
ps,Pa,Surface Air Pressure,surface_air_pressure,CORE,,1hrPt,area: mean time: point
psl,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,mon,area: mean time: mean
psl,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,day,area: mean time: mean
psl,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,1hrPt,area: mean time: point
sfcWind,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,mon,area: mean time: mean
sfcWind,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,day,area: mean time: mean
sfcWind,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,1hrPt,area: mean time: point
